"Gene","Module"
"EEFSEC","blue"
"EEPD1","blue"
"EFCAB10","grey"
"EFCAB11","turquoise"
"EFCAB12","grey"
"EFCAB13","turquoise"
"EFCAB14","turquoise"
"EFCAB5","turquoise"
"EFCAB6","grey"
"EFCAB7","turquoise"
"EFCC1","grey"
"EFEMP1","grey"
"EFEMP2","blue"
"EFHB","grey"
"EFHC1","turquoise"
"EFHC2","grey"
"EFHD1","grey"
"EFHD2","blue"
"EFNA1","grey"
"EFNA3","blue"
"EFNA4","blue"
"EFNA5","turquoise"
"EFNB1","blue"
"EFNB2","turquoise"
"EFNB3","blue"
"EFR3A","turquoise"
"EFR3B","blue"
"EFS","green"
"EFTUD2","turquoise"
"EGF","grey"
"EGFL6","green"
"EGFL7","blue"
"EGFL8","green"
"EGFR","turquoise"
"EGLN1","turquoise"
"EGLN2","blue"
"EGLN3","grey"
"EGR1","grey"
"EGR2","grey"
"EGR3","grey"
"EHBP1","turquoise"
"EHBP1L1","grey"
"EHD1","blue"
"EHD2","blue"
"EHD3","red"
"EHD4","blue"
"EHF","grey"
"EHHADH","turquoise"
"EHMT1","blue"
"EHMT2","black"
"EI24","turquoise"
"EID1","turquoise"
"EID2","turquoise"
"EID2B","turquoise"
"EID3","turquoise"
"EIF1","turquoise"
"EIF1AD","turquoise"
"EIF1AX","turquoise"
"EIF1AY","grey"
"EIF1B","turquoise"
"EIF2A","turquoise"
"EIF2AK1","turquoise"
"EIF2AK2","turquoise"
"EIF2AK3","turquoise"
"EIF2AK4","turquoise"
"EIF2B1","turquoise"
"EIF2B2","turquoise"
"EIF2B3","turquoise"
"EIF2B4","turquoise"
"EIF2B5","turquoise"
"EIF2D","turquoise"
"EIF2S1","turquoise"
"EIF2S2","turquoise"
"EIF2S3","turquoise"
"EIF3A","turquoise"
"EIF3B","turquoise"
"EIF3C","turquoise"
"EIF3CL","turquoise"
"EIF3D","turquoise"
"EIF3E","turquoise"
"EIF3F","turquoise"
"EIF3G","blue"
"EIF3H","turquoise"
"EIF3I","turquoise"
"EIF3J","turquoise"
"EIF3K","blue"
"EIF3L","turquoise"
"EIF3M","turquoise"
"EIF4A1","green"
"EIF4A2","turquoise"
"EIF4A3","grey"
"EIF4B","turquoise"
"EIF4E","turquoise"
"EIF4E2","turquoise"
"EIF4E3","turquoise"
"EIF4EBP1","blue"
"EIF4EBP2","turquoise"
"EIF4EBP3","blue"
"EIF4ENIF1","turquoise"
"EIF4G1","blue"
"EIF4G2","turquoise"
"EIF4G3","turquoise"
"EIF4H","turquoise"
"EIF5","turquoise"
"EIF5A","blue"
"EIF5A2","turquoise"
"EIF5AL1","grey"
"EIF5B","turquoise"
"EIF6","blue"
"ELAC1","turquoise"
"ELAC2","turquoise"
"ELAVL1","turquoise"
"ELF1","turquoise"
"ELF2","turquoise"
"ELF3","blue"
"ELF4","grey"
"ELF5","brown"
"ELFN2","blue"
"ELK1","turquoise"
"ELK3","grey"
"ELK4","turquoise"
"ELL","blue"
"ELL2","turquoise"
"ELL3","red"
"ELMO1","green"
"ELMO2","turquoise"
"ELMO3","blue"
"ELMOD1","grey"
"ELMOD2","turquoise"
"ELMOD3","turquoise"
"ELN","blue"
"ELOF1","blue"
"ELOVL1","turquoise"
"ELOVL4","turquoise"
"ELOVL5","turquoise"
"ELOVL6","turquoise"
"ELOVL7","grey"
"ELP2","turquoise"
"ELP3","turquoise"
"ELP4","turquoise"
"ELP5","blue"
"ELP6","blue"
"EMB","red"
"EMC1","turquoise"
"EMC10","blue"
"EMC2","turquoise"
"EMC3","turquoise"
"EMC4","turquoise"
"EMC6","blue"
"EMC7","turquoise"
"EMC8","turquoise"
"EMC9","blue"
"EMD","blue"
"EME1","turquoise"
"EME2","blue"
"EMG1","turquoise"
"EMID1","grey"
"EMILIN1","blue"
"EMILIN2","grey"
"EMILIN3","blue"
"EML1","grey"
"EML2","blue"
"EML3","blue"
"EML4","turquoise"
"EML5","grey"
"EML6","turquoise"
"EMP1","grey"
"EMP2","turquoise"
"EMP3","grey"
"ENAH","turquoise"
"ENC1","turquoise"
"ENDOD1","turquoise"
"ENDOG","blue"
"ENDOV","turquoise"
"ENG","blue"
"ENGASE","blue"
"ENKD1","blue"
"ENKUR","grey"
"ENO1","blue"
"ENO2","blue"
"ENO3","blue"
"ENO4","grey"
"ENOPH1","turquoise"
"ENOSF1","turquoise"
"ENOX1","grey"
"ENOX2","turquoise"
"ENPEP","grey"
"ENPP1","grey"
"ENPP2","grey"
"ENPP3","grey"
"ENPP4","turquoise"
"ENPP5","grey"
"ENSA","turquoise"
"ENTPD1","grey"
"ENTPD2","blue"
"ENTPD3","grey"
"ENTPD4","turquoise"
"ENTPD5","turquoise"
"ENTPD6","blue"
"ENTPD7","turquoise"
"ENTPD8","blue"
"ENY2","turquoise"
"EOGT","turquoise"
"EP300","turquoise"
"EP400","turquoise"
"EPAS1","turquoise"
"EPB41","turquoise"
"EPB41L1","turquoise"
"EPB41L2","turquoise"
"EPB41L3","green"
"EPB41L4A","turquoise"
"EPB41L4B","turquoise"
"EPB41L5","turquoise"
"EPC1","turquoise"
"EPC2","turquoise"
"EPCAM","grey"
"EPDR1","grey"
"EPG5","turquoise"
"EPGN","grey"
"EPHA1","blue"
"EPHA10","blue"
"EPHA2","blue"
"EPHA4","turquoise"
"EPHA6","yellow"
"EPHB1","grey"
"EPHB2","blue"
"EPHB3","blue"
"EPHB4","blue"
"EPHB6","grey"
"EPHX1","blue"
"EPHX2","turquoise"
"EPHX3","grey"
"EPHX4","turquoise"
"EPM2A","turquoise"
"EPM2AIP1","turquoise"
"EPN1","blue"
"EPN2","turquoise"
"EPN3","blue"
"EPOR","blue"
"EPPIN","brown"
"EPPIN-WFDC6","brown"
"EPPK1","blue"
"EPS15","turquoise"
"EPS15L1","turquoise"
"EPS8","turquoise"
"EPS8L1","blue"
"EPS8L2","blue"
"EPS8L3","grey"
"EPSTI1","grey"
"EPX","yellow"
"ERAL1","turquoise"
"ERAP1","turquoise"
"ERAP2","grey"
"ERBB2","blue"
"ERBB3","grey"
"ERBB4","green"
"ERC1","turquoise"
"ERCC1","blue"
"ERCC2","blue"
"ERCC3","turquoise"
"ERCC4","turquoise"
"ERCC5","turquoise"
"ERCC6","turquoise"
"ERCC6L","turquoise"
"ERCC6L2","turquoise"
"ERCC8","turquoise"
"EREG","grey"
"ERF","blue"
"ERG","grey"
"ERGIC1","blue"
"ERGIC2","turquoise"
"ERGIC3","blue"
"ERH","turquoise"
"ERI1","turquoise"
"ERI2","turquoise"
"ERI3","blue"
"ERICH1","turquoise"
"ERICH2","turquoise"
"ERICH3","green"
"ERICH5","turquoise"
"ERICH6","brown"
"ERICH6B","grey"
"ERLEC1","turquoise"
"ERLIN1","turquoise"
"ERLIN2","turquoise"
"ERMAP","turquoise"
"ERMARD","turquoise"
"ERMN","grey"
"ERMP1","turquoise"
"ERN1","turquoise"
"ERN2","grey"
"ERP27","grey"
"ERP29","turquoise"
"ERP44","turquoise"
"ERRFI1","turquoise"
"ERV3-1","turquoise"
"ERVMER34-1","grey"
"ESAM","blue"
"ESCO1","turquoise"
"ESCO2","turquoise"
"ESD","turquoise"
"ESF1","turquoise"
"ESPL1","blue"
"ESPN","blue"
"ESR1","red"
"ESR2","grey"
"ESRP1","grey"
"ESRP2","blue"
"ESRRA","blue"
"ESRRB","green"
"ESRRG","yellow"
"ESYT1","turquoise"
"ESYT2","turquoise"
"ESYT3","grey"
"ETAA1","turquoise"
"ETF1","turquoise"
"ETFA","turquoise"
"ETFB","blue"
"ETFDH","turquoise"
"ETHE1","blue"
"ETNK1","turquoise"
"ETNK2","blue"
"ETS1","grey"
"ETS2","turquoise"
"ETV1","green"
"ETV2","blue"
"ETV3","turquoise"
"ETV4","blue"
"ETV5","turquoise"
"ETV6","grey"
"ETV7","grey"
"EVA1A","turquoise"
"EVA1B","yellow"
"EVA1C","red"
"EVC","red"
"EVC2","red"
"EVI2A","grey"
"EVI2B","grey"
"EVI5","turquoise"
"EVI5L","blue"
"EVL","grey"
"EVPL","grey"
"EVPLL","brown"
"EWSR1","turquoise"
"EXD2","turquoise"
"EXD3","blue"
"EXO1","turquoise"
"EXO5","turquoise"
"EXOC1","turquoise"
"EXOC2","turquoise"
"EXOC3","blue"
"EXOC3L1","blue"
"EXOC3L4","yellow"
"EXOC4","turquoise"
"EXOC5","turquoise"
"EXOC6","turquoise"
"EXOC6B","turquoise"
"EXOC7","blue"
"EXOC8","turquoise"
"EXOG","turquoise"
"EXOSC1","turquoise"
"EXOSC10","turquoise"
"EXOSC2","turquoise"
"EXOSC3","turquoise"
"EXOSC4","blue"
"EXOSC5","blue"
"EXOSC6","turquoise"
"EXOSC7","turquoise"
"EXOSC8","turquoise"
"EXOSC9","turquoise"
"EXPH5","turquoise"
"EXT1","turquoise"
"EXT2","turquoise"
"EXTL2","turquoise"
"EXTL3","turquoise"
"EYA1","grey"
"EYA2","grey"
"EYA3","turquoise"
"EYA4","grey"
"EZH1","turquoise"
"EZH2","turquoise"
"EZR","turquoise"
"F11R","turquoise"
"F12","blue"
"F2R","turquoise"
"F2RL1","turquoise"
"F3","turquoise"
"F5","grey"
"F7","grey"
"F8","turquoise"
"F8A3","grey"
"FA2H","blue"
"FAAH","blue"
"FAAH2","grey"
"FABP3","grey"
"FABP5","grey"
"FABP6","grey"
"FADD","blue"
"FADS1","turquoise"
"FADS2","blue"
"FADS3","blue"
"FAF1","turquoise"
"FAF2","turquoise"
"FAH","blue"
"FAHD1","turquoise"
"FAHD2A","blue"
"FAHD2B","blue"
"FAIM","turquoise"
"FAIM2","grey"
"FAM107A","yellow"
"FAM107B","turquoise"
"FAM110A","blue"
"FAM110B","grey"
"FAM110C","grey"
"FAM111A","turquoise"
"FAM111B","turquoise"
"FAM114A1","turquoise"
"FAM114A2","turquoise"
"FAM117A","blue"
"FAM117B","turquoise"
"FAM120A","turquoise"
"FAM120AOS","turquoise"
"FAM120B","turquoise"
"FAM120C","turquoise"
"FAM124A","red"
"FAM131A","blue"
"FAM131B","grey"
"FAM131C","blue"
"FAM133B","turquoise"
"FAM135A","turquoise"
"FAM13A","turquoise"
"FAM13B","turquoise"
"FAM13C","grey"
"FAM149A","grey"
"FAM149B1","turquoise"
"FAM151B","turquoise"
"FAM153A","grey"
"FAM156A","turquoise"
"FAM156B","blue"
"FAM161A","turquoise"
"FAM161B","turquoise"
"FAM162A","turquoise"
"FAM163A","grey"
"FAM167A","grey"
"FAM167B","blue"
"FAM168A","turquoise"
"FAM168B","turquoise"
"FAM169A","turquoise"
"FAM171A1","turquoise"
"FAM171A2","blue"
"FAM171B","turquoise"
"FAM174A","turquoise"
"FAM174B","blue"
"FAM177A1","turquoise"
"FAM178B","grey"
"FAM181A","brown"
"FAM181B","grey"
"FAM184A","grey"
"FAM184B","turquoise"
"FAM185A","turquoise"
"FAM186B","blue"
"FAM193A","turquoise"
"FAM193B","blue"
"FAM199X","turquoise"
"FAM204A","turquoise"
"FAM20A","grey"
"FAM20B","turquoise"
"FAM20C","blue"
"FAM216A","turquoise"
"FAM216B","brown"
"FAM217B","turquoise"
"FAM219A","blue"
"FAM219B","turquoise"
"FAM220A","red"
"FAM221A","turquoise"
"FAM221B","grey"
"FAM222A","blue"
"FAM222B","turquoise"
"FAM227A","grey"
"FAM227B","turquoise"
"FAM228A","grey"
"FAM228B","turquoise"
"FAM229A","blue"
"FAM229B","turquoise"
"FAM24B","turquoise"
"FAM32A","turquoise"
"FAM3A","blue"
"FAM3B","grey"
"FAM3C","turquoise"
"FAM3D","grey"
"FAM43A","grey"
"FAM47E","grey"
"FAM47E-STBD1","green"
"FAM50A","blue"
"FAM50B","red"
"FAM53A","blue"
"FAM53B","blue"
"FAM53C","turquoise"
"FAM72A","turquoise"
"FAM72B","turquoise"
"FAM72C","grey"
"FAM72D","grey"
"FAM76A","turquoise"
"FAM76B","turquoise"
"FAM78A","grey"
"FAM81A","turquoise"
"FAM81B","brown"
"FAM86B1","blue"
"FAM86B2","grey"
"FAM89A","grey"
"FAM89B","blue"
"FAM8A1","turquoise"
"FAM90A1","blue"
"FAM91A1","turquoise"
"FAM98A","turquoise"
"FAM98B","turquoise"
"FAM98C","blue"
"FAN1","turquoise"
"FANCA","blue"
"FANCB","turquoise"
"FANCC","turquoise"
"FANCD2","turquoise"
"FANCE","blue"
"FANCF","turquoise"
"FANCG","blue"
"FANCI","turquoise"
"FANCL","turquoise"
"FANCM","turquoise"
"FANK1","turquoise"
"FAR1","turquoise"
"FAR2","turquoise"
"FARP1","turquoise"
"FARP2","turquoise"
"FARS2","turquoise"
"FARSA","blue"
"FARSB","turquoise"
"FAS","grey"
"FASN","blue"
"FASTK","blue"
"FASTKD1","turquoise"
"FASTKD2","turquoise"
"FASTKD3","turquoise"
"FASTKD5","turquoise"
"FAT1","turquoise"
"FAT2","grey"
"FAT3","red"
"FAT4","red"
"FATE1","brown"
"FAU","blue"
"FAXC","grey"
"FAXDC2","turquoise"
"FBF1","blue"
"FBL","blue"
"FBLIM1","blue"
"FBLN1","grey"
"FBLN2","blue"
"FBLN5","grey"
"FBLN7","grey"
"FBN1","red"
"FBN2","grey"
"FBN3","grey"
"FBP1","grey"
"FBRS","blue"
"FBRSL1","blue"
"FBXL12","turquoise"
"FBXL13","grey"
"FBXL14","blue"
"FBXL15","blue"
"FBXL16","blue"
"FBXL17","turquoise"
"FBXL18","blue"
"FBXL19","blue"
"FBXL2","turquoise"
"FBXL20","turquoise"
"FBXL22","grey"
"FBXL3","turquoise"
"FBXL4","turquoise"
"FBXL5","turquoise"
"FBXL6","blue"
"FBXL7","red"
"FBXL8","blue"
"FBXO10","blue"
"FBXO11","turquoise"
"FBXO15","grey"
"FBXO16","turquoise"
"FBXO17","blue"
"FBXO2","blue"
"FBXO21","turquoise"
"FBXO22","turquoise"
"FBXO24","blue"
"FBXO25","turquoise"
"FBXO27","blue"
"FBXO28","turquoise"
"FBXO3","turquoise"
"FBXO30","turquoise"
"FBXO31","blue"
"FBXO32","turquoise"
"FBXO33","turquoise"
"FBXO34","turquoise"
"FBXO36","turquoise"
"FBXO38","turquoise"
"FBXO39","grey"
"FBXO4","turquoise"
"FBXO41","blue"
"FBXO42","turquoise"
"FBXO43","grey"
"FBXO44","blue"
"FBXO45","turquoise"
"FBXO46","blue"
"FBXO48","turquoise"
"FBXO5","turquoise"
"FBXO6","blue"
"FBXO7","turquoise"
"FBXO8","turquoise"
"FBXO9","turquoise"
"FBXW10","grey"
"FBXW11","turquoise"
"FBXW12","green"
"FBXW2","turquoise"
"FBXW4","blue"
"FBXW5","blue"
"FBXW7","turquoise"
"FBXW8","turquoise"
"FBXW9","blue"
"FCAMR","brown"
"FCF1","turquoise"
"FCGBP","grey"
"FCGR1A","grey"
"FCGR2A","grey"
"FCGRT","blue"
"FCHO1","blue"
"FCHO2","turquoise"
"FCHSD1","blue"
"FCHSD2","turquoise"
"FCN3","grey"
"FCRLB","turquoise"
"FDFT1","turquoise"
"FDPS","turquoise"
"FDX1","turquoise"
"FDXACB1","turquoise"
"FDXR","blue"
"FECH","turquoise"
"FEM1A","blue"
"FEM1B","turquoise"
"FEM1C","turquoise"
"FEN1","turquoise"
"FER","turquoise"
"FER1L5","grey"
"FER1L6","grey"
"FERMT1","grey"
"FERMT2","turquoise"
"FERMT3","blue"
"FES","blue"
"FETUB","brown"
"FEZ1","turquoise"
"FEZ2","turquoise"
"FGD1","blue"
"FGD2","grey"
"FGD3","grey"
"FGD4","turquoise"
"FGD6","turquoise"
"FGF1","grey"
"FGF11","red"
"FGF12","grey"
"FGF13","grey"
"FGF14","red"
"FGF17","grey"
"FGF22","blue"
"FGF7","grey"
"FGFBP1","yellow"
"FGFBP2","green"
"FGFBP3","turquoise"
"FGFR1","blue"
"FGFR1OP2","turquoise"
"FGFR2","grey"
"FGFR3","blue"
"FGFR4","blue"
"FGFRL1","blue"
"FGGY","turquoise"
"FGR","grey"
"FH","turquoise"
"FHAD1","grey"
"FHDC1","grey"
"FHIT","grey"
"FHL1","grey"
"FHL2","turquoise"
"FHL3","blue"
"FHOD1","blue"
"FHOD3","red"
"FIBCD1","blue"
"FIBIN","green"
"FIBP","blue"
"FICD","turquoise"
"FIG4","turquoise"
"FIGN","red"
"FIGNL1","turquoise"
"FIGNL2","blue"
"FILIP1","grey"
"FILIP1L","turquoise"
"FIP1L1","turquoise"
"FIS1","blue"
"FITM1","grey"
"FITM2","turquoise"
"FIZ1","blue"
"FJX1","blue"
"FKBP10","blue"
"FKBP11","turquoise"
"FKBP14","turquoise"
"FKBP15","turquoise"
"FKBP1A","turquoise"
"FKBP1B","turquoise"
"FKBP2","blue"
"FKBP3","turquoise"
"FKBP4","turquoise"
"FKBP5","turquoise"
"FKBP6","brown"
"FKBP7","turquoise"
"FKBP8","blue"
"FKBP9","turquoise"
"FKBPL","grey"
"FKRP","blue"
"FKTN","turquoise"
"FLAD1","blue"
"FLCN","blue"
"FLG","yellow"
"FLI1","grey"
"FLII","blue"
"FLNA","blue"
"FLNB","blue"
"FLNC","blue"
"FLOT1","black"
"FLOT2","blue"
"FLRT1","blue"
"FLRT2","red"
"FLRT3","grey"
"FLT1","grey"
"FLT3LG","red"
"FLT4","grey"
"FLVCR1","turquoise"
"FLVCR2","grey"
"FLYWCH1","blue"
"FLYWCH2","blue"
"FMN1","turquoise"
"FMN2","red"
"FMNL1","blue"
"FMNL2","turquoise"
"FMNL3","turquoise"
"FMO2","green"
"FMO3","grey"
"FMO4","turquoise"
"FMO5","turquoise"
"FMOD","green"
"FMR1","turquoise"
"FN1","grey"
"FN3K","blue"
"FN3KRP","turquoise"
"FNBP1","turquoise"
"FNBP1L","turquoise"
"FNBP4","turquoise"
"FNDC3A","turquoise"
"FNDC3B","turquoise"
"FNDC4","blue"
"FNIP1","turquoise"
"FNIP2","turquoise"
"FNTA","turquoise"
"FNTB","blue"
"FOCAD","turquoise"
"FOLH1","green"
"FOLR1","grey"
"FOS","grey"
"FOSB","grey"
"FOSL1","grey"
"FOSL2","grey"
"FOXA1","yellow"
"FOXA2","brown"
"FOXA3","grey"
"FOXC1","turquoise"
"FOXC2","grey"
"FOXD1","grey"
"FOXD2","grey"
"FOXD4","grey"
"FOXD4L3","grey"
"FOXE1","brown"
"FOXF2","blue"
"FOXH1","brown"
"FOXI1","brown"
"FOXI2","brown"
"FOXJ1","grey"
"FOXJ2","turquoise"
"FOXJ3","turquoise"
"FOXK1","blue"
"FOXK2","turquoise"
"FOXL1","yellow"
"FOXM1","turquoise"
"FOXN1","brown"
"FOXN2","turquoise"
"FOXN3","turquoise"
"FOXN4","green"
"FOXO1","turquoise"
"FOXO3","turquoise"
"FOXO3B","blue"
"FOXO4","blue"
"FOXO6","grey"
"FOXP1","turquoise"
"FOXP2","green"
"FOXP3","blue"
"FOXP4","blue"
"FOXQ1","grey"
"FOXRED1","blue"
"FOXRED2","blue"
"FPGS","blue"
"FPGT","turquoise"
"FPGT-TNNI3K","green"
"FRA10AC1","turquoise"
"FRAS1","turquoise"
"FRAT1","blue"
"FRAT2","turquoise"
"FREM2","grey"
"FRG1","turquoise"
"FRK","turquoise"
"FRMD3","turquoise"
"FRMD4A","turquoise"
"FRMD4B","grey"
"FRMD5","turquoise"
"FRMD6","turquoise"
"FRMD8","blue"
"FRMPD2","grey"
"FRMPD3","grey"
"FRRS1","turquoise"
"FRS2","turquoise"
"FRS3","blue"
"FRY","grey"
"FRYL","turquoise"
"FSBP","yellow"
"FSCN1","blue"
"FSCN2","blue"
"FSD1L","turquoise"
"FSD2","turquoise"
"FSIP1","turquoise"
"FSIP2","grey"
"FST","grey"
"FSTL1","grey"
"FSTL3","blue"
"FSTL4","grey"
"FTCDNL1","grey"
"FTH1","turquoise"
"FTL","blue"
"FTO","turquoise"
"FTSJ1","turquoise"
"FTSJ3","turquoise"
"FUBP1","turquoise"
"FUBP3","turquoise"
"FUCA1","turquoise"
"FUCA2","grey"
"FUNDC1","turquoise"
"FUNDC2","turquoise"
"FUOM","grey"
"FURIN","blue"
"FUS","turquoise"
"FUT1","grey"
"FUT2","grey"
"FUT3","green"
"FUT4","turquoise"
"FUT6","grey"
"FUT8","turquoise"
"FUT9","yellow"
"FUZ","blue"
"FXN","turquoise"
"FXR1","turquoise"
"FXR2","blue"
"FXYD1","grey"
"FXYD2","grey"
"FXYD3","grey"
"FXYD5","grey"
"FXYD6","green"
"FYCO1","turquoise"
"FYN","grey"
"FYTTD1","turquoise"
"FZD1","grey"
"FZD10","grey"
"FZD2","blue"
"FZD3","turquoise"
"FZD4","turquoise"
"FZD5","turquoise"
"FZD6","turquoise"
"FZD7","grey"
"FZD8","grey"
"FZD9","blue"
"FZR1","blue"
"G0S2","grey"
"G2E3","turquoise"
"G3BP1","turquoise"
"G3BP2","turquoise"
"G6PC3","blue"
"G6PD","blue"
"GAA","blue"
"GAB1","turquoise"
"GAB2","blue"
"GAB3","grey"
"GABARAP","turquoise"
"GABARAPL1","turquoise"
"GABARAPL2","turquoise"
"GABBR1","grey"
"GABPA","turquoise"
"GABPB1","turquoise"
"GABPB2","turquoise"
"GABRA3","grey"
"GABRB2","yellow"
"GABRB3","yellow"
"GABRE","grey"
"GABRP","brown"
"GABRQ","yellow"
"GAD1","grey"
"GADD45A","turquoise"
"GADD45B","grey"
"GADD45G","blue"
"GADD45GIP1","blue"
"GAK","blue"
"GAL3ST2","brown"
"GAL3ST4","grey"
"GALC","turquoise"
"GALE","blue"
"GALK1","blue"
"GALK2","turquoise"
"GALM","turquoise"
"GALNS","blue"
"GALNT1","turquoise"
"GALNT10","turquoise"
"GALNT11","turquoise"
"GALNT12","turquoise"
"GALNT14","grey"
"GALNT16","grey"
"GALNT18","blue"
"GALNT2","turquoise"
"GALNT3","turquoise"
"GALNT4","grey"
"GALNT5","grey"
"GALNT6","grey"
"GALNT7","turquoise"
"GALR2","yellow"
"GALT","blue"
"GAMT","blue"
"GAN","turquoise"
"GANAB","turquoise"
"GANC","turquoise"
"GAPDH","blue"
"GAPVD1","turquoise"
"GAR1","turquoise"
"GARNL3","turquoise"
"GART","turquoise"
"GAS1","red"
"GAS2","grey"
"GAS2L1","blue"
"GAS2L2","brown"
"GAS2L3","turquoise"
"GAS6","blue"
"GAS7","grey"
"GATA3","grey"
"GATA6","grey"
"GATAD1","turquoise"
"GATAD2A","blue"
"GATAD2B","turquoise"
"GATB","turquoise"
"GATC","turquoise"
"GATM","grey"
"GBA2","turquoise"
"GBE1","turquoise"
"GBF1","turquoise"
"GBGT1","red"
"GBP1","grey"
"GBP2","grey"
"GBP3","grey"
"GBP4","green"
"GBP5","brown"
"GBP6","brown"
"GCA","turquoise"
"GCAT","blue"
"GCC1","turquoise"
"GCC2","turquoise"
"GCDH","blue"
"GCFC2","turquoise"
"GCGR","grey"
"GCH1","turquoise"
"GCHFR","blue"
"GCLC","turquoise"
"GCLM","turquoise"
"GCM1","brown"
"GCNT1","grey"
"GCNT2","grey"
"GCNT3","grey"
"GCNT4","turquoise"
"GCOM1","grey"
"GCSAM","yellow"
"GCSH","turquoise"
"GDA","grey"
"GDAP1","turquoise"
"GDAP2","turquoise"
"GDE1","turquoise"
"GDF1","blue"
"GDF11","turquoise"
"GDF15","grey"
"GDF5","grey"
"GDF7","grey"
"GDF9","turquoise"
"GDI1","blue"
"GDI2","turquoise"
"GDPD1","turquoise"
"GDPD2","grey"
"GDPD3","blue"
"GDPD5","blue"
"GDPGP1","blue"
"GEM","turquoise"
"GEMIN2","turquoise"
"GEMIN4","blue"
"GEMIN5","turquoise"
"GEMIN6","turquoise"
"GEMIN7","turquoise"
"GEMIN8","turquoise"
"GEN1","turquoise"
"GET4","blue"
"GFAP","grey"
"GFER","blue"
"GFI1","grey"
"GFM1","turquoise"
"GFM2","turquoise"
"GFOD1","grey"
"GFOD2","turquoise"
"GFPT1","turquoise"
"GFPT2","grey"
"GFRA3","grey"
"GGA1","blue"
"GGA2","turquoise"
"GGA3","blue"
"GGACT","turquoise"
"GGCT","turquoise"
"GGCX","turquoise"
"GGH","turquoise"
"GGN","blue"
"GGNBP2","turquoise"
"GGPS1","turquoise"
"GGT1","blue"
"GGT6","brown"
"GGT7","blue"
"GHDC","blue"
"GHITM","turquoise"
"GHR","grey"
"GID4","turquoise"
"GID8","turquoise"
"GIGYF1","blue"
"GIGYF2","turquoise"
"GIMAP2","grey"
"GIMAP8","yellow"
"GIN1","turquoise"
"GINM1","turquoise"
"GINS1","turquoise"
"GINS2","turquoise"
"GINS3","turquoise"
"GINS4","turquoise"
"GIPC1","blue"
"GIPC2","turquoise"
"GIPR","blue"
"GIT1","blue"
"GIT2","turquoise"
"GJA1","grey"
"GJA3","grey"
"GJA4","green"
"GJA9","grey"
"GJB1","brown"
"GJB2","grey"
"GJB3","grey"
"GJB4","brown"
"GJB5","yellow"
"GJB6","brown"
"GJB7","yellow"
"GJC1","turquoise"
"GJC2","grey"
"GJD3","yellow"
"GK","turquoise"
"GK5","turquoise"
"GKAP1","grey"
"GLA","turquoise"
"GLB1","turquoise"
"GLB1L","turquoise"
"GLB1L2","yellow"
"GLCCI1","turquoise"
"GLCE","turquoise"
"GLDN","grey"
"GLE1","turquoise"
"GLG1","turquoise"
"GLI1","grey"
"GLI2","grey"
"GLI3","grey"
"GLI4","blue"
"GLIPR1","grey"
"GLIPR1L2","green"
"GLIPR2","grey"
"GLIS2","blue"
"GLIS3","turquoise"
"GLMN","turquoise"
"GLO1","turquoise"
"GLOD4","turquoise"
"GLOD5","grey"
"GLRA2","yellow"
"GLRB","red"
"GLRX","turquoise"
"GLRX2","turquoise"
"GLRX3","turquoise"
"GLRX5","turquoise"
"GLS","turquoise"
"GLS2","turquoise"
"GLT1D1","yellow"
"GLT8D1","turquoise"
"GLT8D2","grey"
"GLTP","turquoise"
"GLTPD2","yellow"
"GLUD1","turquoise"
"GLUD2","turquoise"
"GLUL","turquoise"
"GLYATL1","grey"
"GLYATL2","grey"
"GLYCTK","blue"
"GLYR1","turquoise"
"GM2A","turquoise"
"GMCL1","turquoise"
"GMDS","turquoise"
"GMEB1","turquoise"
"GMEB2","blue"
"GMFB","turquoise"
"GMIP","blue"
"GMNC","green"
"GMNN","turquoise"
"GMPPA","blue"
"GMPPB","blue"
"GMPR","grey"
"GMPR2","turquoise"
"GMPS","turquoise"
"GNA11","blue"
"GNA12","blue"
"GNA13","turquoise"
"GNA14","grey"
"GNA15","grey"
"GNAI1","grey"
"GNAI2","blue"
"GNAI3","turquoise"
"GNAL","turquoise"
"GNAQ","turquoise"
"GNAS","blue"
"GNAZ","blue"
"GNB1","turquoise"
"GNB1L","blue"
"GNB2","blue"
"GNB3","grey"
"GNB4","turquoise"
"GNB5","turquoise"
"GNE","turquoise"
"GNG10","turquoise"
"GNG11","grey"
"GNG12","turquoise"
"GNG3","yellow"
"GNG4","turquoise"
"GNG5","turquoise"
"GNG7","blue"
"GNL1","black"
"GNL2","turquoise"
"GNL3","turquoise"
"GNL3L","turquoise"
"GNMT","blue"
"GNPAT","turquoise"
"GNPDA1","turquoise"
"GNPDA2","turquoise"
"GNPNAT1","turquoise"
"GNPTAB","turquoise"
"GNPTG","blue"
"GNRH1","grey"
"GNS","turquoise"
"GOLGA1","turquoise"
"GOLGA2","turquoise"
"GOLGA3","blue"
"GOLGA4","turquoise"
"GOLGA5","turquoise"
"GOLGA6A","yellow"
"GOLGA6B","grey"
"GOLGA6C","grey"
"GOLGA6L10","grey"
"GOLGA6L4","yellow"
"GOLGA6L9","turquoise"
"GOLGA7","turquoise"
"GOLGA7B","grey"
"GOLGA8A","turquoise"
"GOLGA8B","turquoise"
"GOLGA8H","grey"
"GOLGA8J","grey"
"GOLGA8K","grey"
"GOLGA8M","grey"
"GOLGA8N","turquoise"
